ISO	GDP.2011	pop.2010	Country.name	NOC	F.2012	M.2012	NOC SIZE	NOC.Size.Per.100K.pop	Gold	Silver	Bronze	Total	Bronze.Per.100K.pop	Silver.Per.100K.pop	Gold.Per.100K.pop	Total.Per.100K.pop	Bronze.Per.1BN.GDP	Silver.Per.1BN.GDP	Gold.Per.1BN.GDP	Total.Per.1BN.GDP	Bronze.Per.Athlete	Silver.Per.Athlete	Gold.Per.Athlete	Total.Per.Athlete	Bronze.pop	Silver.pop	Gold.pop	Total.pop	Bronze.GDP	Silver.GDP	Gold.GDP	Total.GDP	Bronze.Athlete	Silver.Athlete	Gold.Athlete	Total.Athlete	GDP rank score	Population rank score	Athlete rank score	Official medal ranking	GDP rank	Pop rank	Team size rank		Total medal score (gold=3, silver =2, bronze=1)
RWA	6377408665	10624000	Rwanda	RWA	2	5	7	0.065888554216868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
KNA	708955238.4	52000	Saint Kitts and Nevis	SKN	1	6	7	13.4615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
LCA	1232180089	174000	Saint Lucia	LCA	3	1	4	2.29885057471264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
VCT	687993692.7	109000	Saint Vincent and the Grenadines	VIN	1	2	3	2.75229357798165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
WSM	649414531.1	184000	Samoa	SAM	3	5	8	4.34782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
SMR	1487000000	31534	San Marino	SMR	3	1	4	12.6847212532505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
STP	248286777.5	165000	Sao Tome and Principe	STP	1	1	2	1.21212121212121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
SAU	576824000000	27448000	Saudi Arabia	KSA	2	17	19	0.069221801224133	0	0	1	1	0.003643252696007	0	0	0.003643252696007	0.001733631055573	0	0	0.001733631055573	0.052631578947368	0	0	0.052631578947368	0.6	0	0	0.6	0.27	0	0	0.27	6.62	0	0	6.62	0.27	0.6	6.62	61	69	64	56		1
SEN	14291456855	12434000	Senegal	SEN	7	28	35	0.281486247386199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
SRB	45043430299	7291000	Serbia	SRB	36	80	116	1.59100260595254	0	1	1	2	0.013715539706487	0.013715539706487	0	0.027431079412975	0.02220079583997	0.02220079583997	0	0.044401591679939	0.008620689655172	0.008620689655172	0	0.017241379310345	2.4	2.8	0	5.2	3.48	4.52	0	8	1.09	1.29	0	2.38	12.52	8	3.67	45	20	36	64		3
